timestamp_utc,context_time,message_item_uri,message_set,message_client_platform,message_item_uri_kind,month,day_of_week,season,is_weekend,time_of_day
2024-09-02 21:07:09.800000+00:00,1725311229800,spotify:track:41UrF3I4WmYqy7CXWSgvwt,collection,,,9,Monday,Autumn,False,Night
2024-11-02 18:50:30.290000+00:00,1730573430290,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,collection,,,11,Saturday,Autumn,True,Evening
2024-10-11 22:11:48.816000+00:00,1728684708816,spotify:track:5qZDQChOQoBSzFfVdXVVhe,collection,,,10,Friday,Autumn,False,Night
2024-10-23 07:43:47.036000+00:00,1729669427036,spotify:track:4ObQ5sbaP5PDCSfv1y6RdT,collection,,,10,Wednesday,Autumn,False,Morning
2024-12-07 17:57:50.836000+00:00,1733594270836,spotify:track:5sTKGE2Btwol1s5mGdnw0P,collection,,,12,Saturday,Winter,True,Evening
2024-11-27 13:47:35.087000+00:00,1732715255087,spotify:album:2GVfiDe1oadkwacDaNtrcG,collection,,,11,Wednesday,Autumn,False,Afternoon
2024-09-29 23:12:44.690000+00:00,1727651564690,spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,collection,,,9,Sunday,Autumn,True,Night
2024-11-18 23:41:07.689000+00:00,1731973267689,spotify:track:5kWcIgj5CszKQBB0Lg7sGY,collection,,,11,Monday,Autumn,False,Night
2024-10-29 22:42:09.690000+00:00,1730241729690,spotify:track:2fBjU39A8TYO9WBCD9lsJ8,collection,,,10,Tuesday,Autumn,False,Night
2024-10-07 20:42:34.242000+00:00,1728333754242,spotify:track:1CSNaLDJMe2OwabywDw8Gv,ban,,,10,Monday,Autumn,False,Evening
2024-08-29 21:45:32.731000+00:00,1724967932731,spotify:track:0962ljU9RgPUgZZnyeCOra,collection,,,8,Thursday,Summer,False,Night
2024-10-22 18:26:01.584000+00:00,1729621561584,spotify:album:0MV1yCXcNNQBfwApqAVkH0,collection,,,10,Tuesday,Autumn,False,Evening
2024-08-31 21:46:13.198000+00:00,1725140773198,spotify:track:6Jy7OvJ903i1MuJLzuOaRF,collection,,,8,Saturday,Summer,True,Night
2024-09-12 14:01:40.439000+00:00,1726149700439,spotify:track:2TyBkLmk4021HiSQQTCniM,collection,,,9,Thursday,Autumn,False,Afternoon
2024-09-21 14:10:44.778000+00:00,1726927844778,spotify:album:4O0Va9SCV5pkAVnDpBVs4l,collection,,,9,Saturday,Autumn,True,Afternoon
2024-10-07 20:42:54.464000+00:00,1728333774464,spotify:track:1CSNaLDJMe2OwabywDw8Gv,collection,,,10,Monday,Autumn,False,Evening
2024-09-02 21:10:15.670000+00:00,1725311415670,spotify:track:2W8lqPRywAPtoducgfjfyf,collection,,,9,Monday,Autumn,False,Night
2024-10-14 10:38:42.939000+00:00,1728902322939,spotify:track:57dYLOaljVrwUgJq6lR6kP,collection,,,10,Monday,Autumn,False,Morning
2024-09-23 21:01:52.502000+00:00,1727125312502,spotify:track:7pwagmoDkhaKiGJGd9YhJp,collection,,,9,Monday,Autumn,False,Night
